"","employment","median_salary","men_median","women_median","Total","median_age","code","year","code2","degrees","number","edu"
"1","Total, all occupations","756","832","684",139869,"42.1","00-0000","2011","00-000","less.hs",12728.08,"hs-"
"2","Total, all occupations","104262","57994","46268",143199,"42.4","00-0000","2013","00-000","less.hs",12744.71,"hs-"
"3","Total, all occupations","109080","60746","48334",143199,"42.4","00-0000","2015","00-000","less.hs",12458.31,"hs-"
"4","Total, all occupations","756","832","684",139869,"42.1","00-0000","2011","00-000","high.school",35246.99,"hs-"
"5","Total, all occupations","104262","57994","46268",143199,"42.4","00-0000","2013","00-000","high.school",35226.95,"hs-"
"6","Total, all occupations","109080","60746","48334",143199,"42.4","00-0000","2015","00-000","high.school",34654.16,"hs-"
"7","Total, all occupations","756","832","684",139869,"42.1","00-0000","2011","00-000","associate",12588.21,"hs-college"
"8","Total, all occupations","104262","57994","46268",143199,"42.4","00-0000","2013","00-000","associate",13317.51,"hs-college"
"9","Total, all occupations","109080","60746","48334",143199,"42.4","00-0000","2015","00-000","associate",13460.71,"hs-college"
"10","Total, all occupations","756","832","684",139869,"42.1","00-0000","2011","00-000","some.college..no.degree",30771.18,"hs-college"
"11","Total, all occupations","104262","57994","46268",143199,"42.4","00-0000","2013","00-000","some.college..no.degree",31074.18,"hs-college"
"12","Total, all occupations","109080","60746","48334",143199,"42.4","00-0000","2015","00-000","some.college..no.degree",30501.39,"hs-college"
"13","Total, all occupations","756","832","684",139869,"42.1","00-0000","2011","00-000","bachelor",30211.7,"college+"
"14","Total, all occupations","104262","57994","46268",143199,"42.4","00-0000","2013","00-000","bachelor",31646.98,"college+"
"15","Total, all occupations","109080","60746","48334",143199,"42.4","00-0000","2015","00-000","bachelor",32219.78,"college+"
"16","Total, all occupations","756","832","684",139869,"42.1","00-0000","2011","00-000","master",12588.21,"college+"
"17","Total, all occupations","104262","57994","46268",143199,"42.4","00-0000","2013","00-000","master",13460.71,"college+"
"18","Total, all occupations","109080","60746","48334",143199,"42.4","00-0000","2015","00-000","master",13890.3,"college+"
"19","Total, all occupations","756","832","684",139869,"42.1","00-0000","2011","00-000","doctor.professional",5734.63,"college+"
"20","Total, all occupations","104262","57994","46268",143199,"42.4","00-0000","2013","00-000","doctor.professional",5871.16,"college+"
"21","Total, all occupations","109080","60746","48334",143199,"42.4","00-0000","2015","00-000","doctor.professional",6014.36,"college+"
